,"ТЧП, мВ",,,"Tj, C",,,"Tc, C",,,"To, C",,"t, s"
1890.997276,460.8385637,,1890.997276,133.3975879,,1890.997276,100.1681771,,1890.997276,68.02048616,128,1890.997276
2155.460412,460.8385637,,2155.460412,133.4077493,,2155.460412,100.1883752,,2155.460412,68.02391485,129,2155.460412
2456.90972,460.8385637,,2456.90972,133.411178,,2456.90972,100.7677789,,2456.90972,68.02734354,130,2456.90972
2800.517857,460.8385637,,2800.517857,133.4146067,,2800.517857,101.5941996,,2800.517857,68.03077223,131,2800.517857
3192.180894,460.7003589,,3192.180894,133.1923654,,3192.180894,101.5976283,,3192.180894,68.03420091,132,3192.180894
3638.619491,460.0861154,,3638.619491,133.0817123,,3638.619491,101.601057,,3638.619491,68.0376296,133,3638.619491
4147.494218,459.6561449,,4147.494218,131.7932906,,4147.494218,101.6044857,,4147.494218,68.04105829,134,4147.494218
4727.537005,458.8883404,,4727.537005,131.7915905,,4727.537005,101.6079144,,4727.537005,68.04448698,135,4727.537005
5388.700973,458.642643,,5388.700973,131.7950191,,5388.700973,101.6113431,,5388.700973,68.04791567,136,5388.700973
6142.331229,458.642643,,6142.331229,131.8420164,,6142.331229,101.6147718,,6142.331229,68.05134435,137,6142.331229
7001.359532,458.642643,,7001.359532,133.1649359,,7001.359532,101.6182004,,7001.359532,68.05477304,138,7001.359532
7980.526199,458.642643,,7980.526199,133.1287788,,7980.526199,101.5805982,,7980.526199,68.05820173,139,7980.526199
9096.633036,458.642643,,9096.633036,132.8329765,,9096.633036,101.4446621,,9096.633036,68.06131872,140,9096.633036
